publishDate,publishMs,songId,title,artists,albumId,album,durationSec,fee,orpheus,webUrl
2016/11/1,1.47793E+12,438456129,真棒,俞天时/GALI,34943899,真棒,240,8,orpheus://song/438456129/?autoplay=1,https://music.163.com/song?id=438456129
2017/11/1,1.50947E+12,516818285,成龙,俞天时/GALI,36724104,成龙,233,8,orpheus://song/516818285/?autoplay=1,https://music.163.com/song?id=516818285
2018/1/15,1.51595E+12,529662099,Anti-social,直火帮 Straight Fire Gang/GALI/孙瑄阳Xtina,37243024,爬墙少年,283,8,orpheus://song/529662099/?autoplay=1,https://music.163.com/song?id=529662099
2018/5/8,1.52574E+12,558408053,差距,SeanT肖恩恩/GALI,38606786,LEVEL 3,182,0,orpheus://song/558408053/?autoplay=1,https://music.163.com/song?id=558408053
2018/8/7,1.53357E+12,1297747296,降落,廖效浓/GALI,72070730,廖效浓,265,8,orpheus://song/1297747296/?autoplay=1,https://music.163.com/song?id=1297747296
2018/10/6,1.53876E+12,1311345795,睡前故事(ft.GALI),孙瑄阳Xtina/GALI,73470808,Go Psycho!,206,8,orpheus://song/1311345795/?autoplay=1,https://music.163.com/song?id=1311345795
2019/4/22,1.55594E+12,1360679640,Smile（Ft.GALI）,90sBABY/GALI,78705639,Smile,207,8,orpheus://song/1360679640/?autoplay=1,https://music.163.com/song?id=1360679640
2019/4/24,1.55604E+12,1360863674,Nice To Meet Y'all,Mr.Trouble麻烦先生/Naggy(A.K.A EnAce)/GALI/AThree,78705907,Nice To Meet Y'all,186,8,orpheus://song/1360863674/?autoplay=1,https://music.163.com/song?id=1360863674
2019/4/26,1.55621E+12,1359717856,挑战challenge,那吾克热-NW/功夫胖KUNGFU-PEN/派克特（PACT）/Max马俊/龙井说唱 孙旭/Swang多雷/于嘉萌/杨晓川/DonotZetah/GALI/ICE杨长青,78605125,挑战challenge,491,8,orpheus://song/1359717856/?autoplay=1,https://music.163.com/song?id=1359717856
2019/6/8,1.55992E+12,1369739982,Trust Issues (栾卓忻 Remix),栾卓忻/GALI,79604374,解锁音乐Ⅰ,174,8,orpheus://song/1369739982/?autoplay=1,https://music.163.com/song?id=1369739982
2019/6/14,1.56044E+12,1371537692,公园,GALI/Ayainc/Clear/凹菠葵,79771858,PARK,183,8,orpheus://song/1371537692/?autoplay=1,https://music.163.com/song?id=1371537692
2019/6/20,1.56096E+12,1372763317,Drowning feat.GALI,曾轩/GALI,79879839,Drowning,190,8,orpheus://song/1372763317/?autoplay=1,https://music.163.com/song?id=1372763317
