publishDate,publishMs,songId,title,artists,albumId,album,durationSec,fee,orpheus,webUrl
2016/11/1,1.48E+12,438456129,真棒,俞天时/GALI,34943899,真棒,240,8,orpheus://song/438456129/?autoplay=1,https://music.163.com/song?id=438456129
2017/5/9,1.49E+12,477442521,Illusion?Freestyle,GALI,35463213,Illusion Freestyle(C Jamm Remix),142,8,orpheus://song/477442521/?autoplay=1,https://music.163.com/song?id=477442521
2017/6/15,1.50E+12,484516882,Sober?Life(Prod.?by?Goldchild),GALI,35637068,Sober Life(Prod. by Goldchild),171,8,orpheus://song/484516882/?autoplay=1,https://music.163.com/song?id=484516882
2017/7/8,1.50E+12,489215275,Bad City,GALI,35718344,Bad City,236,8,orpheus://song/489215275/?autoplay=1,https://music.163.com/song?id=489215275
2017/7/21,1.50E+12,492076300,RAMBO,GALI,35786772,RAMBO,228,8,orpheus://song/492076300/?autoplay=1,https://music.163.com/song?id=492076300
2017/10/11,1.51E+12,512301530,信任问题(Trust Issues ),GALI,36521240,信任问题(Trust Issues ),241,8,orpheus://song/512301530/?autoplay=1,https://music.163.com/song?id=512301530
2017/11/25,1.51E+12,520790997,Mama's?Cry(J.Cole?Remix),GALI,36858350,Mama's Cry(J.Cole Remix),202,8,orpheus://song/520790997/?autoplay=1,https://music.163.com/song?id=520790997
2018/1/10,1.52E+12,528271555,坏天使2.1,江映蓉/GALI,37174222,坏天使2.1,220,0,orpheus://song/528271555/?autoplay=1,https://music.163.com/song?id=528271555
2018/1/15,1.52E+12,530817488,Might Be,GALI/mFindme,37272490,Might Be,187,8,orpheus://song/530817488/?autoplay=1,https://music.163.com/song?id=530817488
2018/5/4,1.53E+12,1441214179,Intro,GALI,88135194,VINTAGE,46,8,orpheus://song/1441214179/?autoplay=1,https://music.163.com/song?id=1441214179
2018/5/4,1.53E+12,1441213176,1992 / Lord Knows,GALI,88135194,VINTAGE,227,8,orpheus://song/1441213176/?autoplay=1,https://music.163.com/song?id=1441213176
2018/5/4,1.53E+12,1441214180,晚上七点二十分 (Skit),GALI,88135194,VINTAGE,73,8,orpheus://song/1441214180/?autoplay=1,https://music.163.com/song?id=1441214180
2018/5/4,1.53E+12,1441214181,Action,GALI/Mixin,88135194,VINTAGE,231,8,orpheus://song/1441214181/?autoplay=1,https://music.163.com/song?id=1441214181
2018/5/4,1.53E+12,1441214182,Paranoid.,GALI,88135194,VINTAGE,222,8,orpheus://song/1441214182/?autoplay=1,https://music.163.com/song?id=1441214182
2018/5/4,1.53E+12,1441213177,Paranoid. (Inst.),GALI,88135194,VINTAGE,214,8,orpheus://song/1441213177/?autoplay=1,https://music.163.com/song?id=1441213177
2018/5/4,1.53E+12,1441213178,Yung Makaveli,GALI,88135194,VINTAGE,191,8,orpheus://song/1441213178/?autoplay=1,https://music.163.com/song?id=1441213178
2018/8/22,1.53E+12,1304401067,Get Dat(prod.AYNJO),GALI/KenRobb/mac ova seas,72374242,Get Dat(prod.AYNJO),221,0,orpheus://song/1304401067/?autoplay=1,https://music.163.com/song?id=1304401067
2018/8/31,1.54E+12,1307334027,这！就是灌篮,GALI,72976620,这！就是灌篮,222,0,orpheus://song/1307334027/?autoplay=1,https://music.163.com/song?id=1307334027
2018/11/23,1.54E+12,1323304414,Lover Or Friend,王洋EVIS/GALI,74265768,Lover Or Friend,228,8,orpheus://song/1323304414/?autoplay=1,https://music.163.com/song?id=1323304414
2018/12/2,1.54E+12,1330697741,SOHO Freestyle,GALI,74691430,SOHO(Jaden Smith Remix),207,8,orpheus://song/1330697741/?autoplay=1,https://music.163.com/song?id=1330697741
2019/3/29,1.55E+12,1441213390,建议 (ADVICE),GALI,88135306,晚霞AfterLight,182,8,orpheus://song/1441213390/?autoplay=1,https://music.163.com/song?id=1441213390
2019/3/29,1.55E+12,1441214374,航线 (feat. HAMA),GALI,88135306,晚霞AfterLight,203,8,orpheus://song/1441214374/?autoplay=1,https://music.163.com/song?id=1441214374
2019/3/29,1.55E+12,1441213391,早晨7点20分,GALI,88135306,晚霞AfterLight,35,8,orpheus://song/1441213391/?autoplay=1,https://music.163.com/song?id=1441213391
