"publishDate","publishMs","songId","title","artists","albumId","album","durationSec","fee","orpheus","webUrl"
"2017-07-27","1501084800000","493310685","Future Star","吴壹/GALI","35824452","Future Star","168","8","orpheus://song/493310685/?autoplay=1","https://music.163.com/song?id=493310685"
"2017-09-22","1506009600000","1825882180","Obey","KUAN/GALI","124064676","寻找未曝光少年","216","8","orpheus://song/1825882180/?autoplay=1","https://music.163.com/song?id=1825882180"
"2018-08-22","1534867200000","1304401067","Get Dat(prod.AYNJO)","GALI/KenRobb/mac ova seas","72374242","Get Dat(prod.AYNJO)","221","0","orpheus://song/1304401067/?autoplay=1","https://music.163.com/song?id=1304401067"
"2019-03-22","1553184000000","1825882197","For You","KUAN","124065119","Bicameral Mind","224","8","orpheus://song/1825882197/?autoplay=1","https://music.163.com/song?id=1825882197"
"2019-04-11","1554912000000","1357816681","Muchlove","Gibb-Z黄泽/GALI","78425471","人小鬼大","176","1","orpheus://song/1357816681/?autoplay=1","https://music.163.com/song?id=1357816681"
"2019-05-19","1558195200000","1359398930","Jaguar (猎豹)","GALI","78248182","壹九","219","8","orpheus://song/1359398930/?autoplay=1","https://music.163.com/song?id=1359398930"
"2019-12-14","1576252800000","1409329111","24hour","小蓝Blue/GALI","84073987","24hour","210","8","orpheus://song/1409329111/?autoplay=1","https://music.163.com/song?id=1409329111"
"2020-02-08","1581158070315","1427292699","""No Chance""// with hook(Prod.JACKWAVY)","JACKWAVY/GALI","85548456","HENTAI","200","8","orpheus://song/1427292699/?autoplay=1","https://music.163.com/song?id=1427292699"
"2021-01-22","1611244800000","1814041301","“PhoneCall”","GALI","121996294","佚名","168","8","orpheus://song/1814041301/?autoplay=1","https://music.163.com/song?id=1814041301"
"2021-10-31","1635609600000","1891169812","YOU'RE REALLY HOT (Live)","阿达娃/GALI","135487277","我的音乐你听吗 总决赛","89","8","orpheus://song/1891169812/?autoplay=1","https://music.163.com/song?id=1891169812"
"2024-08-26","1724601600000","2619810977","PICK A SIDE（interlude）","HEAT J/GALI","245729707","HEATFLYHOMIE:LP","75","8","orpheus://song/2619810977/?autoplay=1","https://music.163.com/song?id=2619810977"
"2026-03-11","1773158400000","3355972100","熊猫邮局（Geek）","BroFA/GALI","364785099","TRUST ME","152","8","orpheus://song/3355972100/?autoplay=1","https://music.163.com/song?id=3355972100"
