publishDate,publishMs,songmid,songId,title,artists,albummid,albumId,album,durationSec,qqmusic,webUrl
2015/9/15,1.44E+12,004duleL0cfGGL,201581615,白日梦想家,GAI周延,000V9hG60iuFdQ,1966876,白日梦想家,175,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""004duleL0cfGGL""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/004duleL0cfGGL
2015/11/11,1.45E+12,001g4sfl3ws5sD,201587353,可爱女孩,3Bangz/GAI周延/Chace,001j0EDY4S2d4h,1969850,可爱女孩,182,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""001g4sfl3ws5sD""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/001g4sfl3ws5sD
2016/7/24,1.47E+12,002dZgkR2CY1iC,203041354,空城计,GAI周延,002DCgF32dwOW0,2142425,空城计,241,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""002dZgkR2CY1iC""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/002dZgkR2CY1iC
2016/9/7,1.47318E+12,000vg64g23WJpX,108961220,鹳雀楼,Blow Fever/GAI周延,002YMLPo3LkgHH,1656538,CAMO,149,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""000vg64g23WJpX""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/000vg64g23WJpX
2017/3/4,1.49E+12,002RPWP346DD1K,203044839,耍没耍过的,布瑞吉Bridge/雾都L4WUDU/GAI周延,003pQfhQ1MN8Td,2142786,耍没耍过的,221,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""002RPWP346DD1K""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/002RPWP346DD1K
2017/4/27,1.49322E+12,004DJPc732vmCX,203033395,Rainbow,GAI周延/布瑞吉Bridge,0028I7Hc10GMdq,2141630,Rainbow,214,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""004DJPc732vmCX""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/004DJPc732vmCX
2017/6/24,1.49823E+12,00095Htd04hhv6,202882747,GAI海选清唱片段 (Live),GAI周延,004BlBLW37MIcB,2124676,中国有嘻哈 第1期,32,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""00095Htd04hhv6""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/00095Htd04hhv6
2017/7/15,1.50005E+12,0045tpsF2ef1zp,203255324,只听自己的歌 (Live),GAI周延/赵昱涛Ao,001c8fpg0x7kIK,2164106,中国有嘻哈 第4期,132,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""0045tpsF2ef1zp""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/0045tpsF2ef1zp
2017/8/7,1.50204E+12,003hYNWq2WY4Gk,203523082,你猜我猜不猜,GAI周延/布瑞吉Bridge,0045hYC20b9bph,2197111,你猜我猜不猜,201,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""003hYNWq2WY4Gk""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/003hYNWq2WY4Gk
2017/8/12,1.50247E+12,003SdZkE0VnxIB,203620407,Street Fighter (Live),GAI周延/艾福杰尼/黄旭/大笑,000MISZa1VWIJe,2204530,中国有嘻哈 第8期,171,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""003SdZkE0VnxIB""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/003SdZkE0VnxIB
2017/8/17,1.50E+12,001sGqrO1jYAyf,203640238,王者降临,GAI周延,004N1eR21h7eTi,2207396,王者降临,174,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""001sGqrO1jYAyf""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/001sGqrO1jYAyf
2017/8/19,1.50307E+12,0045YdtG4FSRLN,203650936,凡人歌 (Live),张震岳/MC HotDog 热狗/黄旭/GAI周延,001dfi1U1SkgF7,2209360,中国有嘻哈 第9期,269,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""0045YdtG4FSRLN""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/0045YdtG4FSRLN
2017/8/26,1.50368E+12,000yw7ED4bPPL8,203705575,苦行僧 (Live),GAI周延,000zVIGt2L9Vfp,2217243,中国有嘻哈 第10期,143,"qqmusic://qq.com/media/playSonglist?p={""song"":[{""type"":""0"",""songmid"":""000yw7ED4bPPL8""}],""action"":""play""}",https://y.qq.com/n/ryqq/songDetail/000yw7ED4bPPL8
