"publishDate","publishMs","songId","title","artists","albumId","album","durationSec","fee","orpheus","webUrl"
"2018-07-14","1531497600000","865861347","王冠 (Live)","Swang多雷","71724250","中国新说唱 第1期","68","1","orpheus://song/865861347/?autoplay=1","https://music.163.com/song?id=865861347"
"2018-07-14","1531497600000","865861348","兔八哥 (Live)","杨和苏KeyNG","71724250","中国新说唱 第1期","66","1","orpheus://song/865861348/?autoplay=1","https://music.163.com/song?id=865861348"
"2018-07-14","1531497600000","866018154","儿子娃娃 (Live)","那吾克热-NW","71724250","中国新说唱 第1期","62","1","orpheus://song/866018154/?autoplay=1","https://music.163.com/song?id=866018154"
"2018-07-14","1531497600000","865861349","听歌补营养 (Live)","于嘉萌","71724250","中国新说唱 第1期","74","1","orpheus://song/865861349/?autoplay=1","https://music.163.com/song?id=865861349"
"2018-07-14","1531497600000","865861350","当我成了你 (Live)","呆宝静","71724250","中国新说唱 第1期","70","1","orpheus://song/865861350/?autoplay=1","https://music.163.com/song?id=865861350"
"2018-07-14","1531497600000","865998092","搭讪指南 (Live)","3Bangz","71724250","中国新说唱 第1期","63","1","orpheus://song/865998092/?autoplay=1","https://music.163.com/song?id=865998092"
"2018-07-14","1531497600000","865998093","HUSTLE (Live)","陈梓童","71724250","中国新说唱 第1期","65","1","orpheus://song/865998093/?autoplay=1","https://music.163.com/song?id=865998093"
"2018-07-14","1531497600000","865998094","Bossin’ (Live)","刘柏辛Lexie","71724250","中国新说唱 第1期","66","1","orpheus://song/865998094/?autoplay=1","https://music.163.com/song?id=865998094"
"2018-07-14","1531497600000","865861351","其实我们都一样 (Live)","徐圣恩","71724250","中国新说唱 第1期","64","1","orpheus://song/865861351/?autoplay=1","https://music.163.com/song?id=865861351"
"2018-07-14","1531497600000","865861352","Bars (Live)","周汤豪","71724250","中国新说唱 第1期","65","1","orpheus://song/865861352/?autoplay=1","https://music.163.com/song?id=865861352"
"2018-07-14","1531497600000","866018155","Watch Me (Live)","王齐铭WatchMe","71724250","中国新说唱 第1期","71","1","orpheus://song/866018155/?autoplay=1","https://music.163.com/song?id=866018155"
"2018-07-14","1531497600000","865998095","I’m Back (Live)","小青龙","71724250","中国新说唱 第1期","64","1","orpheus://song/865998095/?autoplay=1","https://music.163.com/song?id=865998095"
"2018-07-14","1531497600000","865861353","黄种人 (Live)","SIMBA辛巴","71724250","中国新说唱 第1期","41","1","orpheus://song/865861353/?autoplay=1","https://music.163.com/song?id=865861353"
"2018-07-14","1531497600000","865907186","烟雾弹 (Live)","JD","71724250","中国新说唱 第1期","72","1","orpheus://song/865907186/?autoplay=1","https://music.163.com/song?id=865907186"
"2018-07-14","1531497600000","865907187","中国新说唱EP01 RAP01 (Live)","周汤豪","71724250","中国新说唱 第1期","97","1","orpheus://song/865907187/?autoplay=1","https://music.163.com/song?id=865907187"
"2018-07-14","1531497600000","1293951260","I’m Back (Live)","Keyso寿君超","71724250","中国新说唱 第1期","50","1","orpheus://song/1293951260/?autoplay=1","https://music.163.com/song?id=1293951260"
"2018-07-21","1532102400000","1294910217","Differences (Live)","Al Rocco/FADER ONE/RED8红八","71852934","中国新说唱 第2期","65","1","orpheus://song/1294910217/?autoplay=1","https://music.163.com/song?id=1294910217"
"2018-07-21","1532102400000","1294910218","Keep My Mind (Live)","满舒克","71852934","中国新说唱 第2期","72","1","orpheus://song/1294910218/?autoplay=1","https://music.163.com/song?id=1294910218"
"2018-07-21","1532102400000","1294899229","Baby Goodnight (Live)","DonotZetah","71852934","中国新说唱 第2期","66","1","orpheus://song/1294899229/?autoplay=1","https://music.163.com/song?id=1294899229"
"2018-07-21","1532102400000","1294899230","场上称霸 (Live)","万妮达Vinida Weng","71852934","中国新说唱 第2期","74","1","orpheus://song/1294899230/?autoplay=1","https://music.163.com/song?id=1294899230"
"2018-07-21","1532102400000","1294899231","ICE (Live)","ICE杨长青","71852934","中国新说唱 第2期","74","1","orpheus://song/1294899231/?autoplay=1","https://music.163.com/song?id=1294899231"
"2018-07-21","1532102400000","1294910219","Love Or Hate (Live)","Yee","71852934","中国新说唱 第2期","56","1","orpheus://song/1294910219/?autoplay=1","https://music.163.com/song?id=1294910219"
"2018-07-21","1532102400000","1294899232","打个总结 (Live)","王以太","71852934","中国新说唱 第2期","60","1","orpheus://song/1294899232/?autoplay=1","https://music.163.com/song?id=1294899232"
"2018-07-21","1532102400000","1294889226","Parrot or Not (Live)","Cee","71852934","中国新说唱 第2期","63","1","orpheus://song/1294889226/?autoplay=1","https://music.163.com/song?id=1294889226"
"2018-07-21","1532102400000","1294899233","一见你我就笑 (Live)","Toy王奕","71852934","中国新说唱 第2期","36","1","orpheus://song/1294899233/?autoplay=1","https://music.163.com/song?id=1294899233"
"2018-07-21","1532102400000","1294924174","退潮 (Live)","JZN","71852934","中国新说唱 第2期","38","1","orpheus://song/1294924174/?autoplay=1","https://music.163.com/song?id=1294924174"
"2018-07-21","1532102400000","1294899234","Max (Live)","Max马俊","71852934","中国新说唱 第2期","69","1","orpheus://song/1294899234/?autoplay=1","https://music.163.com/song?id=1294899234"
"2018-07-21","1532102400000","1294924175","AIR (Live)","艾热 AIR","71852934","中国新说唱 第2期","70","1","orpheus://song/1294924175/?autoplay=1","https://music.163.com/song?id=1294924175"
"2018-07-21","1532102400000","1294889227","离骚 (Live)","功夫胖KUNGFU-PEN","71852934","中国新说唱 第2期","78","1","orpheus://song/1294889227/?autoplay=1","https://music.163.com/song?id=1294889227"
"2018-07-21","1532102400000","1294889228","月儿圆 (Live)","李佳隆","71852934","中国新说唱 第2期","62","1","orpheus://song/1294889228/?autoplay=1","https://music.163.com/song?id=1294889228"
"2018-07-21","1532102400000","1294889229","Bring it Back (Live)","孔令奇","71852934","中国新说唱 第2期","67","1","orpheus://song/1294889229/?autoplay=1","https://music.163.com/song?id=1294889229"
"2018-07-21","1532102400000","1294924176","Three Pass (Live)","那吾克热-NW/ICE杨长青","71852934","中国新说唱 第2期","142","1","orpheus://song/1294924176/?autoplay=1","https://music.163.com/song?id=1294924176"
"2018-07-21","1532102400000","1294910220","中国新说唱EP02-RAP02 (Live)","满舒克","71852934","中国新说唱 第2期","101","1","orpheus://song/1294910220/?autoplay=1","https://music.163.com/song?id=1294910220"
"2018-07-28","1532707200007","1296548178","Yellow Soul (Live)","满舒克/郭浩","71852210","中国新说唱 第3期","143","1","orpheus://song/1296548178/?autoplay=1","https://music.163.com/song?id=1296548178"
"2018-07-28","1532707200007","1296583186","功夫 (Live)","杨晓川/邓云峰Mr.Krystal","71852210","中国新说唱 第3期","150","1","orpheus://song/1296583186/?autoplay=1","https://music.163.com/song?id=1296583186"
"2018-07-28","1532707200007","1296539257","No Day Off (Live)","万妮达Vinida Weng/BLOWFEVER/RED8红八","71852210","中国新说唱 第3期","138","1","orpheus://song/1296539257/?autoplay=1","https://music.163.com/song?id=1296539257"
"2018-07-28","1532707200007","1296583187","东成西就 (Live)","Max马俊/本帮PQ","71852210","中国新说唱 第3期","153","1","orpheus://song/1296583187/?autoplay=1","https://music.163.com/song?id=1296583187"
"2018-07-28","1532707200007","1296583188","星球坠落 (Live)","艾热 AIR/李佳隆","71852210","中国新说唱 第3期","169","1","orpheus://song/1296583188/?autoplay=1","https://music.163.com/song?id=1296583188"
"2018-07-28","1532707200007","1296583189","悬崖华尔兹 (Live)","法老/王以太","71852210","中国新说唱 第3期","139","1","orpheus://song/1296583189/?autoplay=1","https://music.163.com/song?id=1296583189"
"2018-07-28","1532707200007","1296583190","冠军 (Live)","功夫胖KUNGFU-PEN/派克特（PACT）","71852210","中国新说唱 第3期","152","1","orpheus://song/1296583190/?autoplay=1","https://music.163.com/song?id=1296583190"
"2018-07-28","1532707200007","1296539258","Fun个假 (Live)","黄礼格/徐圣恩","71852210","中国新说唱 第3期","163","1","orpheus://song/1296539258/?autoplay=1","https://music.163.com/song?id=1296539258"
