publishDate,publishMs,songId,title,artists,albumId,album,durationSec,fee,orpheus,webUrl
2017/8/5,1.5019E+12,512196328,Sorry（mix?by?LimBo林）,AYSA/连麻Swimming,35879652,Wake Up,204,0,orpheus://song/512196328/?autoplay=1,https://music.163.com/song?id=512196328
2018/1/20,1.51645E+12,532086221,晚风里,SevenGurusFamily/连麻Swimming,37356462,晚风里,149,0,orpheus://song/532086221/?autoplay=1,https://music.163.com/song?id=532086221
2018/4/20,1.52415E+12,554322674,偷心,SASIOVERLXRD/连麻Swimming,38383836,偷心,226,0,orpheus://song/554322674/?autoplay=1,https://music.163.com/song?id=554322674
2018/7/19,1.53193E+12,1294800585,你是我（prod:youngda?music）,SevenGurusFamily/连麻Swimming/SASIOVERLXRD,71849511,OVERLXRD!!,122,0,orpheus://song/1294800585/?autoplay=1,https://music.163.com/song?id=1294800585
2018/8/4,1.53331E+12,1299075148,无可奉告,SevenGurusFamily/Gibb-Z黄泽/连麻Swimming,72091592,糖果星球,201,8,orpheus://song/1299075148/?autoplay=1,https://music.163.com/song?id=1299075148
2018/8/14,1.53418E+12,1301609368,拒绝 (거부. by. Dices),连麻Swimming/YOONNO/SevenGurusFamily,72284968,拒绝,156,0,orpheus://song/1301609368/?autoplay=1,https://music.163.com/song?id=1301609368
2018/11/21,1.54273E+12,1327466514,圈套,Gibb-Z黄泽/连麻Swimming/SASIOVERLXRD,74484211,圈套,179,8,orpheus://song/1327466514/?autoplay=1,https://music.163.com/song?id=1327466514
2018/12/30,1.54615E+12,1336270030,223 (by . Penacho),SASIOVERLXRD/连麻Swimming/2kc_AAA,74999965,OVERLXRD III,181,0,orpheus://song/1336270030/?autoplay=1,https://music.163.com/song?id=1336270030
2018/12/30,1.54615E+12,1336269151,swim swim（by. $iren）,连麻Swimming,74999965,OVERLXRD III,155,0,orpheus://song/1336269151/?autoplay=1,https://music.163.com/song?id=1336269151
2019/1/18,1.54782E+12,1340693038,咩咩蚊（by. Jack marlow）,连麻Swimming,75246786,咩咩蚊,115,8,orpheus://song/1340693038/?autoplay=1,https://music.163.com/song?id=1340693038
2019/3/4,1.55171E+12,1350015955,Hormone,连麻Swimming,75753058,Hormone,158,8,orpheus://song/1350015955/?autoplay=1,https://music.163.com/song?id=1350015955
2019/4/11,1.55491E+12,1357825171,你什么品位,Gibb-Z黄泽/连麻Swimming/SASIOVERLXRD,78425471,人小鬼大,184,1,orpheus://song/1357825171/?autoplay=1,https://music.163.com/song?id=1357825171
2019/5/1,1.55664E+12,1362167893,U.F.O(u fxxxxxk off),ANT1BOI/连麻Swimming,78806189,ANT1-HER?,174,8,orpheus://song/1362167893/?autoplay=1,https://music.163.com/song?id=1362167893
2019/5/10,1.55748E+12,1364418034,丢人吗？（by：yondo）,连麻Swimming,79018776,YELLER,195,8,orpheus://song/1364418034/?autoplay=1,https://music.163.com/song?id=1364418034
2019/5/10,1.55748E+12,1364418033,你梦见我不告诉我（by：yondo）,连麻Swimming,79018776,YELLER,177,8,orpheus://song/1364418033/?autoplay=1,https://music.163.com/song?id=1364418033
2019/5/10,1.55748E+12,1364417233,MOVE(by：cxdy）,连麻Swimming,79018776,YELLER,149,8,orpheus://song/1364417233/?autoplay=1,https://music.163.com/song?id=1364417233
2019/5/10,1.55748E+12,1364412017,DRAMA(by. eskry),连麻Swimming/2KC_AAA,79018776,YELLER,152,8,orpheus://song/1364412017/?autoplay=1,https://music.163.com/song?id=1364412017
2019/5/10,1.55748E+12,1364412016,魉（by：Deadeyes）,连麻Swimming/海马WAV,79018776,YELLER,150,0,orpheus://song/1364412016/?autoplay=1,https://music.163.com/song?id=1364412016
2019/5/10,1.55748E+12,1364411994,the end(by YZ),连麻Swimming,79018776,YELLER,99,0,orpheus://song/1364411994/?autoplay=1,https://music.163.com/song?id=1364411994
2019/5/10,1.55748E+12,1364411975,GO RAP(intro),连麻Swimming,79018776,YELLER,66,8,orpheus://song/1364411975/?autoplay=1,https://music.163.com/song?id=1364411975
2019/6/14,1.56044E+12,1371542252,六月,Ayainc/连麻Swimming/凹菠葵/qasaluvlena,79771858,PARK,181,8,orpheus://song/1371542252/?autoplay=1,https://music.163.com/song?id=1371542252
2019/7/17,1.56335E+12,1378441915,拗卵 (PROD. TREETIME),连麻Swimming/dhshsj,80360573,拗卵,128,8,orpheus://song/1378441915/?autoplay=1,https://music.163.com/song?id=1378441915
