publishDate,publishMs,songId,title,artists,albumId,album,durationSec,fee,orpheus,webUrl
2017/6/2,1.50E+12,481781747,ONLY,功夫胖KUNGFU-PEN,35571093,随口记,176,8,orpheus://song/481781747/?autoplay=1,https://music.163.com/song?id=481781747
2017/6/2,1.50E+12,1367259091,野百合,功夫胖KUNGFU-PEN,35571093,随口记,181,8,orpheus://song/1367259091/?autoplay=1,https://music.163.com/song?id=1367259091
2017/6/2,1.50E+12,481781949,COLD?WORLD?feat.shelllee?prod.by?DAO,功夫胖KUNGFU-PEN/Shelllee,35571093,随口记,252,8,orpheus://song/481781949/?autoplay=1,https://music.163.com/song?id=481781949
2017/6/2,1.50E+12,481783845,?灵魂列车,功夫胖KUNGFU-PEN,35571093,随口记,171,8,orpheus://song/481783845/?autoplay=1,https://music.163.com/song?id=481783845
2017/6/2,1.50E+12,485508366,孤独症DEMO,功夫胖KUNGFU-PEN/KEY.L刘聪,35571093,随口记,261,8,orpheus://song/485508366/?autoplay=1,https://music.163.com/song?id=485508366
2017/9/18,1.51E+12,507179079,淘金日记,功夫胖KUNGFU-PEN,36271065,淘金日记,156,8,orpheus://song/507179079/?autoplay=1,https://music.163.com/song?id=507179079
2017/12/27,1.51E+12,526525312,海盗船长,功夫胖KUNGFU-PEN,37046905,海盗船长,143,8,orpheus://song/526525312/?autoplay=1,https://music.163.com/song?id=526525312
2018/1/16,1.52E+12,531065842,困兽斗,功夫胖KUNGFU-PEN,37272677,困兽斗,222,8,orpheus://song/531065842/?autoplay=1,https://music.163.com/song?id=531065842
2018/3/6,1.52E+12,543841013,百乐门,功夫胖KUNGFU-PEN,37801967,百乐门,266,8,orpheus://song/543841013/?autoplay=1,https://music.163.com/song?id=543841013
2018/4/3,1.52E+12,549960108,铁锈,功夫胖KUNGFU-PEN,38076764,铁锈,192,8,orpheus://song/549960108/?autoplay=1,https://music.163.com/song?id=549960108
2018/5/20,1.53E+12,564428588,七色光,功夫胖KUNGFU-PEN/李嘉笛FeiJi,39111101,七色光,214,8,orpheus://song/564428588/?autoplay=1,https://music.163.com/song?id=564428588
