publishDate,publishMs,songId,title,artists,albumId,album,durationSec,fee,orpheus,webUrl
2018/4/4,1.52E+12,550119706,错不在我,李佳隆/艾志恒Asen,38203049,Next Wave,185,8,orpheus://song/550119706/?autoplay=1,https://music.163.com/song?id=550119706
2018/4/4,1.52E+12,550123408,Stay?Right?Here?Pt.2,李佳隆/艾志恒Asen,38203049,Next Wave,128,8,orpheus://song/550123408/?autoplay=1,https://music.163.com/song?id=550123408
2018/4/4,1.52E+12,550121607,索尼克ソニック,李佳隆/艾志恒Asen,38203049,Next Wave,168,8,orpheus://song/550121607/?autoplay=1,https://music.163.com/song?id=550121607
2018/7/28,1.53E+12,1296583188,星球坠落 (Live),艾热 AIR/李佳隆,71852210,中国新说唱 第3期,169,1,orpheus://song/1296583188/?autoplay=1,https://music.163.com/song?id=1296583188
2018/9/26,1.54E+12,1312894164,Good Trip [Keep On Movin'] Prod.S.O,梦徐MX/李佳隆/希介/Gosh Music/R3DDI,73579150,Good Trip (休闲之旅),292,0,orpheus://song/1312894164/?autoplay=1,https://music.163.com/song?id=1312894164
2018/11/20,1.54E+12,1327111546,Drip,出人头地OTTNO/李佳隆/bbno$/c0de731/陈家麟JC-Note,74485710,Drip,236,0,orpheus://song/1327111546/?autoplay=1,https://music.163.com/song?id=1327111546
2019/1/30,1.55E+12,1466349163,Falling (feat.李佳隆),慕斯塔法/李佳隆,93113858,*,165,0,orpheus://song/1466349163/?autoplay=1,https://music.163.com/song?id=1466349163
2019/4/7,1.55E+12,1356842901,Once Upon A Time Freestyle,艾志恒Asen/BIG Shivy/XZTYWXZYTYXZ/李佳隆,78321108,Nesa Tape,255,8,orpheus://song/1356842901/?autoplay=1,https://music.163.com/song?id=1356842901
2019/11/1,1.57E+12,1400063384,HIGHWAY,Yee/李佳隆,82853217,碎片,182,8,orpheus://song/1400063384/?autoplay=1,https://music.163.com/song?id=1400063384
2019/11/15,1.57E+12,1403756319,BERRY,李佳隆/艾志恒Asen,83228364,BERRY,216,0,orpheus://song/1403756319/?autoplay=1,https://music.163.com/song?id=1403756319
2019/11/19,1.57E+12,1402896080,Sunday,曾轩/李佳隆,83489637,邂逅/Meet Me On Sunday,213,8,orpheus://song/1402896080/?autoplay=1,https://music.163.com/song?id=1402896080
2020/4/18,1.59E+12,1441581262,闪电,mac ova seas/李佳隆,88186995,Born 2 Be,212,8,orpheus://song/1441581262/?autoplay=1,https://music.163.com/song?id=1441581262
2020/6/19,1.59E+12,1456673506,SERPENT,90sBABY/李佳隆,91119443,SERPENT,230,8,orpheus://song/1456673506/?autoplay=1,https://music.163.com/song?id=1456673506
2020/8/7,1.60E+12,1468158078,复活,功夫胖KUNGFU-PEN/李佳隆,93439661,梦剧院,239,8,orpheus://song/1468158078/?autoplay=1,https://music.163.com/song?id=1468158078
2020/9/4,1.60E+12,1476449942,卫星Satellite (Live),李佳隆/林渝植Anoryz,94954770,中国新说唱2020 第四期,194,1,orpheus://song/1476449942/?autoplay=1,https://music.163.com/song?id=1476449942
2020/9/25,1.60E+12,1482146943,Super X (Live),mac ova seas/BrAnTB白景屹/李佳隆/钟文UglyZ,95948389,中国新说唱2020 第七期,390,1,orpheus://song/1482146943/?autoplay=1,https://music.163.com/song?id=1482146943
2021/1/29,1.61E+12,1816711403,月亮代表谁的心 (Live),李佳隆/万妮达Vinida Weng,122413231,天赐的声音第二季 第3期,206,1,orpheus://song/1816711403/?autoplay=1,https://music.163.com/song?id=1816711403
2021/2/5,1.61E+12,1818733937,思念是一种病 (Live),陶喆/李佳隆,122730706,天赐的声音第二季 第4期,255,1,orpheus://song/1818733937/?autoplay=1,https://music.163.com/song?id=1818733937
2021/4/1,1.62E+12,1833792929,纸上谈兵,刘思鉴/李佳隆,125394559,纸上谈兵.,193,8,orpheus://song/1833792929/?autoplay=1,https://music.163.com/song?id=1833792929
2021/5/27,1.62E+12,1844355272,Saucy,BLOWFEVER/李佳隆,127273604,HIGH GRADES,280,8,orpheus://song/1844355272/?autoplay=1,https://music.163.com/song?id=1844355272
2021/6/19,1.62E+12,1855124033,全世界流浪,布瑞吉Bridge/李佳隆,129317418,ON DAT BRIDGE,154,8,orpheus://song/1855124033/?autoplay=1,https://music.163.com/song?id=1855124033
2022/7/16,1.66E+12,1964443056,C位渡鸦 (LIVE版),李佳隆/PSY.P,148191532,中国说唱巅峰对决 第四期,286,1,orpheus://song/1964443056/?autoplay=1,https://music.163.com/song?id=1964443056
