"publishDate","publishMs","songId","title","artists","albumId","album","durationSec","fee","orpheus","webUrl"
"2017-08-05","1501898010936","509523063","我出剪刀你出布","连麻Swimming","35879652","Wake Up","175","0","orpheus://song/509523063/?autoplay=1","https://music.163.com/song?id=509523063"
"2018-02-05","1517760000000","535873802","没感觉","连麻Swimming","37485640","Freestyle Challenge Show","96","0","orpheus://song/535873802/?autoplay=1","https://music.163.com/song?id=535873802"
"2018-04-16","1523877677001","553402558","垃圾袋","连麻Swimming","38355517","垃圾袋","141","0","orpheus://song/553402558/?autoplay=1","https://music.163.com/song?id=553402558"
"2018-04-27","1524758400000","555893368","INTRO","SevenGurusFamily/SASIOVERLXRD/连麻Swimming","38473693","OVERLXRD","107","0","orpheus://song/555893368/?autoplay=1","https://music.163.com/song?id=555893368"
"2018-04-27","1524758400000","555895345","变很大（BY：TREETIME）","SevenGurusFamily/连麻Swimming/SASIOVERLXRD","38473693","OVERLXRD","198","0","orpheus://song/555895345/?autoplay=1","https://music.163.com/song?id=555895345"
"2018-04-27","1524758400000","555897258","要求多 要求高（BY：TREETIME）","SevenGurusFamily/连麻Swimming/SASIOVERLXRD","38473693","OVERLXRD","176","0","orpheus://song/555897258/?autoplay=1","https://music.163.com/song?id=555897258"
"2018-04-27","1524758400000","555889878","飘（BY：TREETIME）","SevenGurusFamily/连麻Swimming/JinJiBeWater_隼/SASIOVERLXRD","38473693","OVERLXRD","240","0","orpheus://song/555889878/?autoplay=1","https://music.163.com/song?id=555889878"
"2018-07-19","1531929600000","1294799717","满满（prod:TREETIME）","SevenGurusFamily/连麻Swimming","71849511","OVERLXRD!!","96","0","orpheus://song/1294799717/?autoplay=1","https://music.163.com/song?id=1294799717"
"2018-07-19","1531929600000","1294799748","匕首（prod:HHH）","SevenGurusFamily/连麻Swimming","71849511","OVERLXRD!!","97","0","orpheus://song/1294799748/?autoplay=1","https://music.163.com/song?id=1294799748"
"2018-07-19","1531929600000","1294800628","Green Ninja (prod:TREETIME)","SevenGurusFamily/连麻Swimming","71849511","OVERLXRD!!","142","0","orpheus://song/1294800628/?autoplay=1","https://music.163.com/song?id=1294800628"
