publishDate,publishMs,songId,title,artists,albumId,album,durationSec,fee,orpheus,webUrl
2017/8/5,1.50E+12,495753074,CD?City,连麻Swimming,35879652,Wake Up,84,0,orpheus://song/495753074/?autoplay=1,https://music.163.com/song?id=495753074
2017/8/5,1.50E+12,498012243,Wake?Up,连麻Swimming;RZ,35879652,Wake Up,187,0,orpheus://song/498012243/?autoplay=1,https://music.163.com/song?id=498012243
2017/8/5,1.50E+12,499016929,Trouble,连麻Swimming,35879652,Wake Up,125,0,orpheus://song/499016929/?autoplay=1,https://music.163.com/song?id=499016929
2017/8/5,1.50E+12,509523063,我出剪刀你出布,连麻Swimming,35879652,Wake Up,175,0,orpheus://song/509523063/?autoplay=1,https://music.163.com/song?id=509523063
2017/8/5,1.50E+12,512196328,Sorry（mix?by?LimBo林）,AYSA/连麻Swimming,35879652,Wake Up,204,0,orpheus://song/512196328/?autoplay=1,https://music.163.com/song?id=512196328
2018/8/14,1.53E+12,1301609368,拒绝 (??. by. Dices),连麻Swimming/YOONNO/SevenGurusFamily,72284968,拒绝,156,0,orpheus://song/1301609368/?autoplay=1,https://music.163.com/song?id=1301609368
2018/8/21,1.53E+12,1303523434,CHEF (by. TREE TIME),连麻Swimming/SevenGurusFamily,72370231,CHEF,102,0,orpheus://song/1303523434/?autoplay=1,https://music.163.com/song?id=1303523434
2018/9/27,1.54E+12,1313189142,为什么押韵（by. Vacasian）,连麻Swimming/SevenGurusFamily,73611932,为什么押韵,159,0,orpheus://song/1313189142/?autoplay=1,https://music.163.com/song?id=1313189142
2019/1/18,1.55E+12,1340693038,咩咩蚊（by. Jack marlow）,连麻Swimming,75246786,咩咩蚊,115,8,orpheus://song/1340693038/?autoplay=1,https://music.163.com/song?id=1340693038
2019/2/14,1.55E+12,1345933441,HOE (by. Ymb cash),连麻Swimming,75522535,HOE,127,0,orpheus://song/1345933441/?autoplay=1,https://music.163.com/song?id=1345933441
2019/3/4,1.55E+12,1350015955,Hormone,连麻Swimming,75753058,Hormone,158,8,orpheus://song/1350015955/?autoplay=1,https://music.163.com/song?id=1350015955
2019/5/10,1.56E+12,1364411975,GO RAP(intro),连麻Swimming,79018776,YELLER,66,8,orpheus://song/1364411975/?autoplay=1,https://music.163.com/song?id=1364411975
2019/5/10,1.56E+12,1364412017,DRAMA(by. eskry),连麻Swimming/2KC_AAA,79018776,YELLER,152,8,orpheus://song/1364412017/?autoplay=1,https://music.163.com/song?id=1364412017
2019/5/10,1.56E+12,1364418033,你梦见我不告诉我（by：yondo）,连麻Swimming,79018776,YELLER,177,8,orpheus://song/1364418033/?autoplay=1,https://music.163.com/song?id=1364418033
2019/5/10,1.56E+12,1364412000,160块(kevin katana),连麻Swimming,79018776,YELLER,139,0,orpheus://song/1364412000/?autoplay=1,https://music.163.com/song?id=1364412000
2019/5/10,1.56E+12,1364412016,魉（by：Deadeyes）,连麻Swimming/海马WAV,79018776,YELLER,150,0,orpheus://song/1364412016/?autoplay=1,https://music.163.com/song?id=1364412016
2019/5/10,1.56E+12,1364417233,MOVE(by：cxdy）,连麻Swimming,79018776,YELLER,149,8,orpheus://song/1364417233/?autoplay=1,https://music.163.com/song?id=1364417233
2019/5/10,1.56E+12,1364418035,南柯一梦(by：ronsupreme),连麻Swimming/qasaluvlena,79018776,YELLER,205,0,orpheus://song/1364418035/?autoplay=1,https://music.163.com/song?id=1364418035
2019/5/10,1.56E+12,1364418034,丢人吗？（by：yondo）,连麻Swimming,79018776,YELLER,195,8,orpheus://song/1364418034/?autoplay=1,https://music.163.com/song?id=1364418034
2019/5/10,1.56E+12,1364411994,the end(by YZ),连麻Swimming,79018776,YELLER,99,0,orpheus://song/1364411994/?autoplay=1,https://music.163.com/song?id=1364411994
2019/6/3,1.56E+12,1369394242,A$AP Ferg-DAWG（连麻Swimming / SASI / 2KC_AAA remix）,连麻Swimming/SASIOVERLXRD/2KC_AAA,79493595,DAWG,149,0,orpheus://song/1369394242/?autoplay=1,https://music.163.com/song?id=1369394242
2019/7/17,1.56E+12,1378441915,拗卵 (PROD. TREETIME),连麻Swimming/dhshsj,80360573,拗卵,128,8,orpheus://song/1378441915/?autoplay=1,https://music.163.com/song?id=1378441915
2019/7/31,1.56E+12,1381350541,咋的哦（Freestyle prod. Eskry）,连麻Swimming,80693905,咋的哦,126,8,orpheus://song/1381350541/?autoplay=1,https://music.163.com/song?id=1381350541
2019/9/16,1.57E+12,1391224986,BINGO (PROD. TREETIME),连麻Swimming,81624209,BINGO,116,8,orpheus://song/1391224986/?autoplay=1,https://music.163.com/song?id=1391224986
2019/9/19,1.57E+12,1391925784,Famous （Prod.Wybzd）,连麻Swimming/Tony KillaR,81667470,Famous,179,8,orpheus://song/1391925784/?autoplay=1,https://music.163.com/song?id=1391925784
2019/11/21,1.57E+12,1405327459,癞疙宝（Prod. Remed）,连麻Swimming,83492532,癞疙宝,152,8,orpheus://song/1405327459/?autoplay=1,https://music.163.com/song?id=1405327459
2019/12/14,1.58E+12,1409533277,pussy out my room (Prod.KooEye & cookinmastaboiii),连麻Swimming/SASIOVERLXRD,84025580,pussy out my room,202,8,orpheus://song/1409533277/?autoplay=1,https://music.163.com/song?id=1409533277
2019/12/28,1.58E+12,1412486350,90S LOVE U,刘明宇Lil-7/连麻Swimming,84530777,90S LOVE U,175,1,orpheus://song/1412486350/?autoplay=1,https://music.163.com/song?id=1412486350
2020/8/28,1.60E+12,1436520262,林弯弯 (Prod K eleven),连麻Swimming/K11,94513292,Yuppie“雅痞”,213,8,orpheus://song/1436520262/?autoplay=1,https://music.163.com/song?id=1436520262
2020/8/28,1.60E+12,1474178484,鸿星尔克（Feat. Ice Prod. Control Gang）,连麻Swimming/ICE杨长青,94513292,Yuppie“雅痞”,220,8,orpheus://song/1474178484/?autoplay=1,https://music.163.com/song?id=1474178484
2020/8/28,1.60E+12,1474181053,锤子（Feat. A$en Prod. Noah Cuz）,连麻Swimming/艾志恒Asen,94513292,Yuppie“雅痞”,228,8,orpheus://song/1474181053/?autoplay=1,https://music.163.com/song?id=1474181053
2020/8/28,1.60E+12,1474181052,shit 94 shit （Prod.  Noah Cuz）,连麻Swimming,94513292,Yuppie“雅痞”,189,8,orpheus://song/1474181052/?autoplay=1,https://music.163.com/song?id=1474181052
2020/8/28,1.60E+12,1474181054,郑伊健（Feat. JR Views Prod. Ouhboy ）,连麻Swimming/JR Views,94513292,Yuppie“雅痞”,187,8,orpheus://song/1474181054/?autoplay=1,https://music.163.com/song?id=1474181054
2020/8/28,1.60E+12,1440148356,Bow Bow（Prod. Aye Aye Captain）,连麻Swimming/希介/梁笑生AIRBUS130,94513292,Yuppie“雅痞”,208,8,orpheus://song/1440148356/?autoplay=1,https://music.163.com/song?id=1440148356
2020/8/28,1.60E+12,1474178481,真资格（Feat. 盛宇D-SHINE Prod.Yokarza x Ouhboy）,连麻Swimming/盛宇D-SHINE,94513292,Yuppie“雅痞”,206,8,orpheus://song/1474178481/?autoplay=1,https://music.163.com/song?id=1474178481
2020/8/28,1.60E+12,1474178480,魔幻手机（Prod. Duhu）,连麻Swimming,94513292,Yuppie“雅痞”,231,8,orpheus://song/1474178480/?autoplay=1,https://music.163.com/song?id=1474178480
